ID,Video Title,Description,Views,Likes,Dislikes,Comment Count,clickbait
xXhuDjqverw,I filled up my bathtub with candy  then this happened...,#SHORTS,4758369,187412,12127,3133,1
EhzX_O2ncyI,I GOT BANNED ON TIK TOK,"WHY I GOT BANNED ON TIK TOK 
#shorts #azzyland #azzy #tiktok",9264387,389267,16135,7241,1
RbQ9ZaTvdHo,Can you do this with your lips? #shorts,#shorts #azzyland #azzy,622073,26044,709,498,1
WYb6kHwMAZQ,What I would wear if I was in a video game #shorts,#shorts #azzyland #azzy #cosplay,691431,30630,812,525,1
pihnN41mzEk,NAILED IT or FAILED IT CHALLENGE!!,"SUBSCRIBE and become part of the AzzyLand family :D 

Hello Citizens of Azzyland.... I'm Azzy and welcome to another amazing reaction video! NAILED IT or FAILED IT CHALLENGE!!

SIMILAR VIDEOS ► https://www.youtube.com/playlist?list=PLk_2g8L0o5r48OqZg53Soa9T1m4vLtOC9
Q&A's ►  https://www.youtube.com/playlist?list=PLk_2g8L0o5r5WS45JJQfGDiSpjLS0vjxS
CHALLENGES ►  https://www.youtube.com/playlist?list=PLk_2g8L0o5r5kDiRjdkzysfihiAW-hQgq

SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/?hl=en
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland


OUTRO SONG: https://www.youtube.com/watch?v=xVzeZGRZk0s",5364951,65238,1438,7646,1
PQQv8eTt9Ow,Reacting to the SADDEST animations - TRY NOT TO CRY CHALLENGE,"Reacting to the SADDEST animations - TRY NOT TO CRY CHALLENGE

SUBSCRIBE and become part of the AzzyLand family :D 

Hello Citizens of Azzyland.... I'm Azzy and welcome to another amazing reaction video! Today we are Reacting to the SADDEST animations - TRY NOT TO CRY CHALLENGE

SIMILAR VIDEOS ► https://www.youtube.com/playlist?list=PLk_2g8L0o5r48OqZg53Soa9T1m4vLtOC9
CHALLENGES ►  https://www.youtube.com/playlist?list=PLk_2g8L0o5r5kDiRjdkzysfihiAW-hQgq

SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/?hl=en
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland


OUTRO SONG: https://www.youtube.com/watch?v=xVzeZGRZk0s",25111780,222588,15042,24102,1
kyel9XWnLX0,Messed up MYSTERY RIDDLES to Test Logic Skills w/ Gloom,"Messed up MYSTERY RIDDLES to Test Logic Skills w/ Gloom - 
7 Second Riddles: https://www.youtube.com/channel/UCttFk8-Nysnyw59aNlWOWzw
Gloom: https://youtu.be/FSczovlQbco

SUBSCRIBE and become part of the AzzyLand family :D 

Hello Citizens of Azzyland.... I'm Azzy and welcome to another amazing reaction video! Today we are reacting to Messed up MYSTERY RIDDLES to Test Logic Skills w/ Gloom

SIMILAR VIDEOS ► https://www.youtube.com/playlist?list=PLk_2g8L0o5r48OqZg53Soa9T1m4vLtOC9
CHALLENGES ►  https://www.youtube.com/playlist?list=PLk_2g8L0o5r5kDiRjdkzysfihiAW-hQgq

SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/?hl=en
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland


OUTRO SONG: https://www.youtube.com/watch?v=xVzeZGRZk0s",6080802,84153,3002,4023,1
yugX4oWeZ4I,A Stranger SECRETLY LIVED in my HOME ! - My Story Animated,"Azzyland - A Stranger SECRETLY LIVED in my HOME ! - My Story Animated https://www.youtube.com/watch?v=F5aX8KneteA

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Tik Tok: https://www.tiktok.com/@azzyland
•Facebook: https://www.facebook.com/azzyland/
•Twitter: https://twitter.com/AzzyLand

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s

CREDIT:
My Story Animated: https://www.youtube.com/watch?v=F5aX8KneteA",2227936,53697,1052,2840,1
F0qgIPrzuak,People Finding SECRET HIDDEN ROOMS In Their Homes !,"Azzyland - People Finding SECRET HIDDEN ROOMS In Their Homes !

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

🛍️ OFFICIAL AZZYLAND MERCH 
https://www.azzyland.com/shop

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Tik Tok: https://www.tiktok.com/@azzyland
•Facebook: https://www.facebook.com/azzyland/
•Twitter: https://twitter.com/AzzyLand

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s",231701,9872,85,573,1
9im36gYhq7Y,Most unusual BEDS that are not only for sleep,"Most unusual BEDS that are not only for sleep

✨ LET'S BE FRIENDS
❤️ Instagram: https://www.instagram.com/azzyland/
💛 Tik Tok: https://www.tiktok.com/@azzyland
💚 Facebook: https://www.facebook.com/azzyland/
💙 Twitter: https://twitter.com/AzzyLand

CREATOR CREDITS:
1) https://youtu.be/nuO80_vIGSY 
2) https://www.tiktok.com/@finishedbasementnj/video/705990...
3) https://www.tiktok.com/@bobbymoore44/video/701267131581...
4) https://www.tiktok.com/@aprettycoolhoteltour/video/6965...
5) https://www.tiktok.com/@watchmyhaircut/video/6822672182...
6) https://www.tiktok.com/@arnienegrete/video/701388513010...
7) https://www.tiktok.com/@calegoes/video/7041372366198328...
8) https://www.tiktok.com/@eddiefay1/video/690576330219066...
9) https://www.tiktok.com/@aprettycoolhoteltour/video/7041...
10) https://www.tiktok.com/@soniadayz/video/695452227856241...
11) https://www.tiktok.com/@ahodai/video/695535180484246247...
12) https://youtu.be/nuO80_vIGSY 
13) https://www.pinterest.com/pin/782641241492581439/
14) https://youtu.be/K6HFH4E2JSI
15) https://www.tiktok.com/@adambryan_/video/70728149229833...
16) https://youtu.be/x82KFhfbbBU (Exterior Shot 3:57-4:08)...
17) https://www.tiktok.com/@valerie_hhouse/video/6976438443...
18) https://www.tiktok.com/@arnienegrete/video/701388513010...
19) https://www.tiktok.com/@series_fishing/video/6972502696...
20) https://youtu.be/n7SFX-nm_9Q
21) https://www.tiktok.com/@calegoes/video/7041372366198328...
22) https://www.tiktok.com/@bobbymoore44/video/701267131581...
23) https://youtu.be/etmgt-kWLu0
24) https://www.tiktok.com/@itsiancorrea/video/701442344075...
25) https://www.tiktok.com/@eddiefay1/video/690576330219066...
26) https://www.tiktok.com/@kristen95c14e17/video/705545054...
27) https://www.tiktok.com/@ivybycrafts/video/6980329749470...
28) https://www.tiktok.com/@watchmyhaircut/video/6822672182...
29) https://youtu.be/wH7RerZmfrM
30) https://www.tiktok.com/@thehouseofadora/video/705477968...
31) https://www.tiktok.com/@starwarsandbeyond/video/6981391...
32) https://www.tiktok.com/@finishedbasementnj/video/705990...
33) http://static.demilked.com/wp-content/uploads/2019/10/5...
34) https://www.tiktok.com/@soniadayz/video/695452227856241...
35) https://www.tiktok.com/@letmebe_krystle_clear/video/680...
36) http://static.demilked.com/wp-content/uploads/2019/10/5...
37) https://youtu.be/5wEFFWjo8ro
38) https://www.pinterest.com/pin/501729214709513004/

 #azzyreacts #azzyverse #azzyworld #azzyland #azzy #reaction #funny",695385,13387,2324,684,1
9vCYUtvNQyA,When the Weird Kid in Your Class Grows Up ...,"When the Weird Kid in Your Class Grows Up Tik Toks
Download Dragon City for free  become a Dragon Master and claim the exclusive rewards: https://dragoncity.onelink.me/DDHl/april22

✨ LET'S BE FRIENDS
❤️ Instagram: https://www.instagram.com/azzyland/
💛 Tik Tok: https://www.tiktok.com/@azzyland
💚 Facebook: https://www.facebook.com/azzyland/
💙 Twitter: https://twitter.com/AzzyLand


 #azzyreacts #azzyverse #azzyworld #azzyland #azzy #reaction #funny",362604,9011,5,385,1
Uef0w24ek6Q,I Am 17 TRAPPED in a 50 Year Old's Body ! - My Story Animated,"Azzyland - After 30 Years I Am STILL 17 ! - My Story Animated - Thanks to My Story Animated: https://www.youtube.com/watch?v=LGcW7r8ae_s

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Tik Tok: https://www.tiktok.com/@azzyland
•Facebook: https://www.facebook.com/azzyland/
•Twitter: https://twitter.com/AzzyLand

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s",2538943,86519,1357,4559,1
HHoQkMvTamg,I REALLY wish I never knew how these things were made ..,"I REALLY wish I never knew how these things were made ..

✨ LET'S BE FRIENDS
❤️ Instagram: https://www.instagram.com/azzyland/
💛 Tik Tok: https://www.tiktok.com/@azzyland
💚 Facebook: https://www.facebook.com/azzyland/
💙 Twitter: https://twitter.com/AzzyLand


 #azzyreacts #azzyverse #howthingsaremade #azzyland #azzy #reaction #funny",1621913,25850,348,713,1
2_nCX6Z6-ug,My Mom LIED - Im NOT BLIND - A True Story Animated,"Azzyland - My Mom LIED - Im NOT BLIND - A True Story Animated - Thanks to Dory Story: https://www.youtube.com/watch?v=B__iIncPVw0

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Tik Tok: https://www.tiktok.com/@azzyland
•Facebook: https://www.facebook.com/azzyland/
•Twitter: https://twitter.com/AzzyLand

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s

CREDIT:
Dory Story: https://www.youtube.com/watch?v=B__iIncPVw0",4540181,106360,2408,3916,1
WnOFI_2XjYc,Messed up MYSTERY RIDDLES to Test Survival Skills w/ Gloom,"Messed up MYSTERY RIDDLES to Test Survival Skills - 
7 Second Riddles: https://www.youtube.com/channel/UCttF...
Gloom: https://www.youtube.com/watch?v=mjkx0FyFIfc

Hello Citizens of Azzyland.... I'm Azzy and welcome to another amazing reaction video! Today we are reacting to Messed up MYSTERY RIDDLES to Test Survival Skills w/ Gloom

SIMILAR VIDEOS ► https://www.youtube.com/playlist?list=PLk_2g8L0o5r48OqZg53Soa9T1m4vLtOC9
CHALLENGES ►  https://www.youtube.com/playlist?list=PLk_2g8L0o5r5kDiRjdkzysfihiAW-hQgq

SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/?hl=en
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland


OUTRO SONG: https://www.youtube.com/watch?v=xVzeZGRZk0s",4202141,58116,1703,3189,1
